city,country,latitude,longitude,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,temp_avg_yearly,budget_level_encoded,HotelRating_encoded,rating_was_unknown,has_airport,is_short_trip,is_one_week,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_oceania,region_south_america,name,iata,icao,latitude_airport,longitude_airport,HotelName,Attractions
Maun,Botswana,-19.9860951,23.4224352,3,5,5,1,2,3,3,2,4,24.141666666666666,2,2.0,0,1,1,1,True,False,False,False,False,False,False,Maun Airport,MUB,FBMN,-19.97260093688965,23.431100845336918,Bush Baby Calls mobile camps,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Okavango Delta - 0.1 km / 0.1 mi <br /> Nhabe Museum - 0.9 km / 0.6 mi <br /> Maun Gardens - 1.5 km / 1 mi <br /> Maun Wildlife Educational Park - 2.7 km / 1.7 mi <br /> Maun Environmental Education Centre - 2.8 km / 1.7 mi <br /> </p><p>The preferred airport for Bush Baby Calls mobile camps is Maun (MUB) - 0.4 km / 0.2 mi </p>
Nelson,New Zealand,-41.2710849,173.2836756,3,4,5,3,2,3,3,3,4,13.816666666666668,2,3.0,1,1,1,1,False,False,False,False,False,True,False,Nelson Airport,NSN,NZNS,-41.298301696777344,173.2209930419922,Grove Garden Villa,Not specified
Rovaniemi,Finland,66.5025657,25.73122,3,4,5,1,2,3,3,2,4,9.5,2,3.0,0,1,1,1,False,False,True,False,False,False,False,Rovaniemi Airport,RVN,EFRO,66.564796447754,25.830400466919,Forenom Serviced Apartments Rovaniemi,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lordi s Square - 0.3 km / 0.2 mi <br /> Sampokeskus Shopping Centre - 0.3 km / 0.2 mi <br /> Jätkänkynttilä (Lumberjack s Candle Bridge) - 0.4 km / 0.2 mi <br /> Maxim Movie Theater Complex - 0.5 km / 0.3 mi <br /> Revontuli Shopping Center - 0.5 km / 0.3 mi <br /> Ounaskosken uimaranta - 0.8 km / 0.5 mi <br /> Arktikum - 0.8 km / 0.5 mi <br /> Lappia House - 0.8 km / 0.5 mi <br /> Pilke - 0.8 km / 0.5 mi <br /> Rovaniemi Stadium - 0.9 km / 0.6 mi <br /> Rovaniemen Taidemuseo - 1 km / 0.6 mi <br /> Korundi - House of Culture - 1 km / 0.6 mi <br /> Rovaniemi Art Museum - 1 km / 0.6 mi <br /> Rovaniemen Kirkko - 1.1 km / 0.7 mi <br /> Arktikumin ranta - 1.1 km / 0.7 mi <br /> </p><p>The nearest major airport is Rovaniemi (RVN) - 9.1 km / 5.6 mi</p>
Bristol,United Kingdom,51.4538022,-2.5972985,4,3,3,2,4,4,3,4,2,11.35,2,4.0,0,1,1,1,False,False,True,False,False,False,False,Bristol Airport,BRS,EGGD,51.382702,-2.71909,Leonardo Bristol Glassfields,Not specified
Reykjavik,Iceland,64.145981,-21.9422367,3,4,5,2,3,3,4,3,4,5.3,3,3.0,0,1,1,1,False,False,True,False,False,False,False,Reykjavik Airport,RKV,BIRK,64.1299972534,-21.9405994415,Reykjavik Lights by Keahotels,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Asmundarsafn - 0.4 km / 0.2 mi <br /> Laugardalsholl - 0.5 km / 0.3 mi <br /> Grasagardur Botanical Garden - 0.6 km / 0.4 mi <br /> Laugardalsvollur - 0.7 km / 0.4 mi <br /> Laugavegur - 0.8 km / 0.5 mi <br /> Laugardalslaug Geothermal Pool - 0.9 km / 0.6 mi <br /> Kringlan Shopping Mall - 1.5 km / 0.9 mi <br /> Hofdi House - 1.8 km / 1.1 mi <br /> Iceland Phallological Museum - 1.8 km / 1.1 mi <br /> Sigurjon Olafsson Museum - 2 km / 1.2 mi <br /> Kjarvalsstadir - 2 km / 1.2 mi <br /> Sundhollin - 2.1 km / 1.3 mi <br /> Sun Voyager - 2.4 km / 1.5 mi <br /> Hallgrimskirkja - 2.6 km / 1.6 mi <br /> Leifur Eiríksson statue - 2.6 km / 1.6 mi <br /> </p><p>The nearest airports are:<br />Reykjavik Domestic Airport (RKV) - 5.2 km / 3.2 mi<br /> ReykjavikKeflavik Intl. Airport (KEF) - 49.7 km / 30.9 mi<br /> </p><p>The preferred airport for Reykjavik Lights by Keahotels is Reykjavik Domestic Airport (RKV). </p>
Seoul,South Korea,37.5666791,126.9782914,5,3,3,2,5,5,4,5,2,14.936363636363637,2,2.0,0,1,1,1,False,True,False,False,False,False,False,Gimpo International Airport,GMP,RKSS,37.5583,126.791,Hi Seoul Youth Hostel,Not specified
Livingstone,Zambia,-17.853135,25.861429,3,5,5,2,2,3,3,2,4,23.166666666666668,2,4.0,0,1,1,1,True,False,False,False,False,False,False,Livingstone Airport,LVI,FLLI,-17.821800231933594,25.82270050048828,AVANI Victoria Falls Resort,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Mosi-oa-Tunya National Park - 0.1 km / 0.1 mi <br /> Victoria Falls Field Museum - 0.5 km / 0.3 mi <br /> Victoria Falls - 0.6 km / 0.3 mi <br /> Victoria Falls National Park - 1.1 km / 0.7 mi <br /> Victoria Falls Bridge - 1.6 km / 1 mi <br /> Devil s Pool - 3.8 km / 2.4 mi <br /> Livingstone Reptile Park - 5.7 km / 3.6 mi <br /> Maramba Cultural Museum - 7.1 km / 4.4 mi <br /> Zambezi National Park - 7.7 km / 4.8 mi <br /> Railway Museum - 8.3 km / 5.1 mi <br /> Livingstone Museum - 9.3 km / 5.8 mi <br /> Mukuni Park Curio Market - 9.9 km / 6.1 mi <br /> </p><p>The nearest airports are:<br />Livingstone (LVI) - 15 km / 9.3 mi<br /> Victoria Falls (VFA) - 24.5 km / 15.2 mi<br /> </p><p>The preferred airport for Avani Victoria Falls Resort is Livingstone (LVI). </p>
Athens,Greece,37.9755648,23.7348324,5,3,3,3,4,5,3,4,2,19.383333333333333,2,3.0,0,1,1,1,False,False,True,False,False,False,False,Eleftherios Venizelos International Airport,ATH,LGAV,37.9364013672,23.9444999695,Coco Mat Hotel Nafsika,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>KAT Hospital - 1.1 km / 0.7 mi <br /> Mall Athens - 3.3 km / 2 mi <br /> Olympic Athletic Center - 3.6 km / 2.2 mi <br /> Athens Medical Center - 3.7 km / 2.3 mi <br /> Golden Hall - 4.5 km / 2.8 mi <br /> IASO Hospital - 4.5 km / 2.8 mi <br /> Spyros Louis Olympic Stadium - 4.9 km / 3 mi <br /> Hygeia Hospital - 6.4 km / 4 mi <br /> Mitera Maternity Hospital - 6.5 km / 4.1 mi <br /> Iaso General Hospital - 9.7 km / 6 mi <br /> Leto - Obstetrics & Gynecology Center - 10 km / 6.2 mi <br /> Agia Paraskevi Square - 10.1 km / 6.3 mi <br /> Parnitha National Park - 10.3 km / 6.4 mi <br /> Expo Athens - 11.2 km / 6.9 mi <br /> Sotiria Thoracic Diseases Hospital of Athens - 11.4 km / 7.1 mi <br /> </p><p>The preferred airport for COCO-MAT Hotel Nafsika is Athens Intl. Airport (ATH) - 29.2 km / 18.1 mi </p>
Puebla,Mexico,18.833333,-98.0,5,3,3,1,3,5,3,4,2,17.666666666666668,2,4.0,0,1,1,1,False,False,False,False,True,False,False,Hermanos Serdán International Airport,PBC,MMPB,19.1581001282,-98.3713989258,Camino Real Puebla Angelópolis,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>International Baroque Museum - 1.1 km / 0.7 mi <br /> University Cultural Center of BUAP - 1.4 km / 0.9 mi <br /> Anahuac University - 1.6 km / 1 mi <br /> Palmas Plaza - 3 km / 1.9 mi <br /> Angelopolis Commercial Center - 3 km / 1.9 mi <br /> SKY Bridge Puebla - 3.1 km / 1.9 mi <br /> Puebla Golf Club - 3.3 km / 2 mi <br /> Campus Puebla - Universidad del Valle de México - 3.5 km / 2.1 mi <br /> Metropolitan Auditorium - 3.6 km / 2.2 mi <br /> Estrella de Puebla Observation Wheel - 3.8 km / 2.4 mi <br /> Triangulo Las Animas Shopping Center - 4.4 km / 2.7 mi <br /> Autonomous University of Puebla - 6 km / 3.7 mi <br /> Parque Benito Juárez - 6.1 km / 3.8 mi <br /> Plaza Dorada - 6.1 km / 3.8 mi <br /> University of the Americas Puebla - 6.4 km / 4 mi <br /> </p><p>The preferred airport for Camino Real Puebla Angelopolis is Puebla Intl. Airport (PBC) - 36.2 km / 22.5 mi </p>
Bridgetown,Barbados,13.0977832,-59.6184184,3,3,4,5,4,4,4,3,2,27.325,2,3.0,1,1,1,1,False,False,False,False,True,False,False,Sir Grantley Adams International Airport,BGI,TBPB,13.0746002197,-59.4925003052,Victorious Lux,Not specified
Tirana,Albania,41.3281482,19.8184435,3,3,3,2,3,3,3,3,2,16.525000000000002,1,3.0,0,1,1,0,False,False,True,False,False,False,False,Tirana International Airport Mother Teresa,TIA,LATI,41.4146995544,19.7206001282,Pik Loti Hotel,Not specified
Rio de Janeiro,Brazil,-22.9110137,-43.2093727,4,4,5,5,5,4,3,4,2,24.233333333333334,2,3.0,0,1,1,1,False,False,False,False,False,False,True,Morro da Urca Heliport,\N,SDHU,-22.95166778564453,-43.16583251953125,Paraty Hotel,Not specified
Curitiba,Brazil,-25.4295963,-49.2712724,4,3,4,1,3,4,3,4,3,18.675,2,3.0,0,1,1,1,False,False,False,False,False,False,True,Bacacheri Airport,BFH,SBBI,-25.4050998688,-49.23199844359999,ibis Curitiba Shopping,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Curitiba Shopping Center - 0.2 km / 0.1 mi <br /> Crystal Shopping Center - 0.3 km / 0.2 mi <br /> 24 Hours Street - 0.4 km / 0.3 mi <br /> Pequeno Príncipe Hospital - 0.7 km / 0.4 mi <br /> Novo Batel Mall - 0.7 km / 0.4 mi <br /> Rua Quinze de Novembro - 0.9 km / 0.6 mi <br /> General Osorio Square - 0.9 km / 0.6 mi <br /> Museum of Contemporary Art - 0.9 km / 0.6 mi <br /> Parana Museum of Contemporary Art - 0.9 km / 0.6 mi <br /> Castelo do Batel - 1.1 km / 0.7 mi <br /> Flower s Street - 1.1 km / 0.7 mi <br /> Espanha Square - 1.2 km / 0.8 mi <br /> Hospital Vita - 1.2 km / 0.8 mi <br /> Shopping Estacao - 1.4 km / 0.8 mi <br /> Pátio Batel - 1.4 km / 0.9 mi <br /> </p><p>The preferred airport for Ibis Curitiba Shopping is Curitiba (CWB-Afonso Pena Intl.) - 17.9 km / 11.1 mi </p>
Savusavu,Fiji,-16.7802184,179.3328955,3,4,5,5,2,3,4,2,5,26.675,2,3.0,1,1,1,1,False,False,False,False,False,True,False,Savusavu Airport,SVU,NFNS,-16.8027992249,179.341003418,Dreamview Villa,Not specified
Aarhus,Denmark,56.1496278,10.2134046,4,2,3,3,3,4,3,4,3,9.866666666666667,2,3.0,0,1,1,0,False,False,True,False,False,False,False,Aarhus Airport,AAR,EKAH,56.2999992371,10.619000434899998,Amaliegade 10 B,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Aarhus City Hall - 0.3 km / 0.2 mi <br /> Den Svangre - 0.3 km / 0.2 mi <br /> Sankt Clemens Bro - 0.4 km / 0.2 mi <br /> Kunsthal Aarhus - 0.4 km / 0.2 mi <br /> Viking Museum - 0.4 km / 0.3 mi <br /> Dokk1 - 0.5 km / 0.3 mi <br /> Aarhus Hovedbanegaard - 0.5 km / 0.3 mi <br /> Aarhus Cathedral - 0.5 km / 0.3 mi <br /> Royal Scandinavian Casino - 0.5 km / 0.3 mi <br /> Aarhus Theater - 0.5 km / 0.3 mi <br /> Store Torv - 0.5 km / 0.3 mi <br /> Royal Casino - 0.5 km / 0.3 mi <br /> Den Gamle Nationalbank - Nykredit - 0.5 km / 0.3 mi <br /> ARoS - 0.6 km / 0.4 mi <br /> Women s Museum in Denmark - 0.6 km / 0.4 mi <br /> </p><p>The nearest major airport is Aarhus (AAR) - 41.1 km / 25.6 mi</p>
Dunedin,New Zealand,-45.8740984,170.5035755,4,3,4,3,3,3,3,3,4,10.491666666666667,2,3.0,1,1,1,0,False,False,False,False,False,True,False,Dunedin Airport,DUD,NZDN,-45.9281005859375,170.197998046875,Amberley Retreat,Not specified
Taupo,New Zealand,-38.6866197,176.0694773,3,5,5,2,3,3,4,2,4,12.433333333333332,2,3.0,1,1,1,1,False,False,False,False,False,True,False,Taupo Airport,TUO,NZAP,-38.73970031738281,176.08399963378906,A Hop Skip & Jump to The Lake,Not specified
Arica,Chile,-18.4785288,-70.3211394,3,4,4,4,3,3,3,2,4,19.316666666666666,1,3.0,0,1,1,0,False,False,False,False,False,False,True,Chacalluta Airport,ARI,SCAR,-18.348499,-70.338699,Departamento Frente a Playa,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Las Machas Beach - 1.2 km / 0.7 mi <br /> Chinchorro Beach - 2 km / 1.2 mi <br /> Arica Casino - 4.9 km / 3.1 mi <br /> Arica Culture House - 5.7 km / 3.5 mi <br /> Baquedano Park - 5.8 km / 3.6 mi <br /> San Marcos Cathedral - 5.8 km / 3.6 mi <br /> Arica Sea Museum - 5.9 km / 3.6 mi <br /> San Marcos Square - 5.9 km / 3.6 mi <br /> Vicuna Mackenna Park - 5.9 km / 3.7 mi <br /> Plaza Colon - 5.9 km / 3.7 mi <br /> Sitio Colon 10 Museum - 6 km / 3.8 mi <br /> Carlos Dittborn Stadium - 6.7 km / 4.1 mi <br /> Poblado Artesanal Shopping Area - 7.4 km / 4.6 mi <br /> La Lisera Beach - 8.2 km / 5.1 mi <br /> Arenillas Negras Beach - 8.4 km / 5.2 mi <br /> </p><p>The nearest airports are:<br />Arica (ARI-Chacalluta) - 13 km / 8.1 mi<br /> Tacna (TCQ-Coronel FAP Carlos Ciriani Santa Rosa Intl.) - 46.2 km / 28.7 mi<br /> </p><p>The preferred airport for this apartment is Tacna (TCQ-Coronel FAP Carlos Ciriani Santa Rosa Intl.). </p>
Lille,France,50.6365654,3.0635282,4,2,2,1,3,4,3,4,2,11.766666666666666,2,2.0,0,1,1,0,False,False,True,False,False,False,False,Lille-Lesquin Airport,LIL,LFQQ,50.563332,3.086886,Hotel Saint Sébastien,Not specified
Nazca,Peru,-14.8277203,-74.9370624,4,3,3,1,2,3,2,2,4,20.133333333333333,1,3.0,1,1,0,0,False,False,False,False,False,False,True,Maria Reiche Neuman Airport,NZC,SPZA,-14.8540000916,-74.9615020752,Hospedaje El Telar,Not specified
Rosario,Argentina,-32.9593609,-60.6617024,4,3,3,2,4,4,3,4,2,18.258333333333333,2,3.0,0,1,1,1,False,False,False,False,False,False,True,Islas Malvinas Airport,ROS,SAAR,-32.9036,-60.785,Modernos Departamentos en Rosario,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Pedestrian Cordoba Street - 0.1 km / 0.1 mi <br /> Plaza San Martin - 0.3 km / 0.2 mi <br /> Plaza Sarmiento - 1.1 km / 0.7 mi <br /> Plaza Montenegro - 1.4 km / 0.9 mi <br /> La Bola de Nieve - 1.7 km / 1.1 mi <br /> Plaza 25 de Mayo - 1.8 km / 1.1 mi <br /> Independence Park - 1.8 km / 1.1 mi <br /> Firma y Odilo Estvez Municipal Decorative Art Museum - 1.8 km / 1.1 mi <br /> Isla de los Inventos - 1.9 km / 1.2 mi <br /> Palace of the Lions - 1.9 km / 1.2 mi <br /> Rosario Cathedral - 1.9 km / 1.2 mi <br /> Dr. Julio Marc Provincial Historical Museum - 1.9 km / 1.2 mi <br /> Museum of Contemporary Art of Rosario - 1.9 km / 1.2 mi <br /> El Circulo Theater - 2 km / 1.2 mi <br /> Parque de Espana - 2.1 km / 1.3 mi <br /> </p><p>The preferred airport for Modernos Departamentos en Rosario is Rosario (ROS-Rosario - Islas Malvinas Intl.) - 18.5 km / 11.5 mi </p>
Funchal,Portugal,32.6496497,-16.9086783,4,3,5,3,3,4,4,3,4,20.125,2,4.0,0,1,1,1,False,False,True,False,False,False,False,Madeira Airport,FNC,LPMA,32.697899,-16.7745,Villa Kira by MHM,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Madeira Congress Center - 2.7 km / 1.7 mi <br /> Barreiros Stadium - 3.3 km / 2 mi <br /> Formosa Beach - 3.5 km / 2.2 mi <br /> Madeira Casino - 3.9 km / 2.4 mi <br /> Complexo Balnear do Lido - 4.3 km / 2.6 mi <br /> CR7 Museum - 4.3 km / 2.7 mi <br /> Quinta das Cruzes Museum - 4.4 km / 2.8 mi <br /> Santa Clara Monastery - 4.5 km / 2.8 mi <br /> La Vie Shopping Center - 4.5 km / 2.8 mi <br /> Se Cathedral - 4.6 km / 2.9 mi <br /> Frederico de Freitas Museum - 4.6 km / 2.9 mi <br /> Museum of Natural History - 4.7 km / 2.9 mi <br /> Funchal Marina - 4.7 km / 2.9 mi <br /> Avenida do Mar - 4.8 km / 3 mi <br /> Arcadas Sao Francisco Shopping Center - 4.8 km / 3 mi <br /> </p><p>The nearest major airport is Cristiano Ronaldo Airport (FNC) - 21.4 km / 13.3 mi</p>
